dataset,metric_id,metric_profile_id,metric_condition_id,applicability,definition_variant,evaluation_reference,label_count,positive_label,denominator_basis,phase_method_restriction,prerequisite_or_reason,implementation_status
dreaddit,contradiction,D-STRESS-v1,D-STRESS-v1/contradiction/dataset-metric-conditions-v1,conditional,binary_stress__contradiction,released_stress_labels,2,stress=1,Contradicted atomic claims / adjudicated claims; unclear claims separately reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Claim-level source judgments,specified_not_yet_validated_for_server
goemotions,contradiction,G-EMOTION28-v1,G-EMOTION28-v1/contradiction/dataset-metric-conditions-v1,conditional,multilabel_emotion__contradiction,released_emotion_label_sets,28,,Contradicted atomic claims / adjudicated claims; unclear claims separately reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Claim-level source judgments,specified_not_yet_validated_for_server
cache,contradiction,C-CODING-v1,C-CODING-v1/contradiction/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__contradiction,none,,,Contradicted atomic claims / adjudicated claims; unclear claims separately reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Claim-level source judgments,specified_not_yet_validated_for_server
parlamint_gb,contradiction,P-CODING-v1,P-CODING-v1/contradiction/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__contradiction,none,,,Contradicted atomic claims / adjudicated claims; unclear claims separately reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Claim-level source judgments,specified_not_yet_validated_for_server
dreaddit,quote_validity,D-STRESS-v1,D-STRESS-v1/quote_validity/dataset-metric-conditions-v1,applicable,binary_stress__quote_validity,released_stress_labels,2,stress=1,"Quotes whose stored [start,end) offsets reproduce the quote exactly / all submitted quotes. Missing all required quotes is an item failure.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,quote_validity,G-EMOTION28-v1,G-EMOTION28-v1/quote_validity/dataset-metric-conditions-v1,applicable,multilabel_emotion__quote_validity,released_emotion_label_sets,28,,"Quotes whose stored [start,end) offsets reproduce the quote exactly / all submitted quotes. Missing all required quotes is an item failure.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,quote_validity,C-CODING-v1,C-CODING-v1/quote_validity/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__quote_validity,none,,,"Quotes whose stored [start,end) offsets reproduce the quote exactly / all submitted quotes. Missing all required quotes is an item failure.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,quote_validity,P-CODING-v1,P-CODING-v1/quote_validity/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__quote_validity,none,,,"Quotes whose stored [start,end) offsets reproduce the quote exactly / all submitted quotes. Missing all required quotes is an item failure.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,label_evidence_coverage,D-STRESS-v1,D-STRESS-v1/label_evidence_coverage/dataset-metric-conditions-v1,applicable,binary_stress__label_evidence_coverage,released_stress_labels,2,stress=1,"Predicted labels/codes with at least one mechanically valid quote / predicted labels/codes; empty invalid output has coverage 0, never 100.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,label_evidence_coverage,G-EMOTION28-v1,G-EMOTION28-v1/label_evidence_coverage/dataset-metric-conditions-v1,applicable,multilabel_emotion__label_evidence_coverage,released_emotion_label_sets,28,,"Predicted labels/codes with at least one mechanically valid quote / predicted labels/codes; empty invalid output has coverage 0, never 100.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,label_evidence_coverage,C-CODING-v1,C-CODING-v1/label_evidence_coverage/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__label_evidence_coverage,none,,,"Predicted labels/codes with at least one mechanically valid quote / predicted labels/codes; empty invalid output has coverage 0, never 100.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,label_evidence_coverage,P-CODING-v1,P-CODING-v1/label_evidence_coverage/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__label_evidence_coverage,none,,,"Predicted labels/codes with at least one mechanically valid quote / predicted labels/codes; empty invalid output has coverage 0, never 100.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,evidence_entailment,D-STRESS-v1,D-STRESS-v1/evidence_entailment/dataset-metric-conditions-v1,applicable,binary_stress__evidence_entailment,released_stress_labels,2,stress=1,Label/code claims actually supported by cited spans / judged label/code claims. Report all predicted-label denominator and missing separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,evidence_entailment,G-EMOTION28-v1,G-EMOTION28-v1/evidence_entailment/dataset-metric-conditions-v1,applicable,multilabel_emotion__evidence_entailment,released_emotion_label_sets,28,,Label/code claims actually supported by cited spans / judged label/code claims. Report all predicted-label denominator and missing separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,evidence_entailment,C-CODING-v1,C-CODING-v1/evidence_entailment/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__evidence_entailment,none,,,Label/code claims actually supported by cited spans / judged label/code claims. Report all predicted-label denominator and missing separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,evidence_entailment,P-CODING-v1,P-CODING-v1/evidence_entailment/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__evidence_entailment,none,,,Label/code claims actually supported by cited spans / judged label/code claims. Report all predicted-label denominator and missing separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,evidence_token_f1,D-STRESS-v1,D-STRESS-v1/evidence_token_f1/dataset-metric-conditions-v1,conditional,binary_stress__evidence_token_f1,released_stress_labels,2,stress=1,Token overlap against independently annotated gold spans using a frozen tokenizer and multi-span matching rule.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Human reference evidence; not available for the current panel by default,specified_not_yet_validated_for_server
goemotions,evidence_token_f1,G-EMOTION28-v1,G-EMOTION28-v1/evidence_token_f1/dataset-metric-conditions-v1,conditional,multilabel_emotion__evidence_token_f1,released_emotion_label_sets,28,,Token overlap against independently annotated gold spans using a frozen tokenizer and multi-span matching rule.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Human reference evidence; not available for the current panel by default,specified_not_yet_validated_for_server
cache,evidence_token_f1,C-CODING-v1,C-CODING-v1/evidence_token_f1/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__evidence_token_f1,none,,,Token overlap against independently annotated gold spans using a frozen tokenizer and multi-span matching rule.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Human reference evidence; not available for the current panel by default,specified_not_yet_validated_for_server
parlamint_gb,evidence_token_f1,P-CODING-v1,P-CODING-v1/evidence_token_f1/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__evidence_token_f1,none,,,Token overlap against independently annotated gold spans using a frozen tokenizer and multi-span matching rule.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Human reference evidence; not available for the current panel by default,specified_not_yet_validated_for_server
dreaddit,correct_and_grounded,D-STRESS-v1,D-STRESS-v1/correct_and_grounded/dataset-metric-conditions-v1,applicable,binary_stress__correct_and_grounded,released_stress_labels,2,stress=1,"Match by record ID: exact label correctness AND Conformability pass. Use actual joint events, never multiply marginal rates. Show missing-grounding bounds.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,correct_and_grounded,G-EMOTION28-v1,G-EMOTION28-v1/correct_and_grounded/dataset-metric-conditions-v1,applicable,multilabel_emotion__correct_and_grounded,released_emotion_label_sets,28,,"Match by record ID: exact label correctness AND Conformability pass. Use actual joint events, never multiply marginal rates. Show missing-grounding bounds.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,correct_and_grounded,C-CODING-v1,C-CODING-v1/correct_and_grounded/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,correct_and_grounded,P-CODING-v1,P-CODING-v1/correct_and_grounded/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,grounding_on_errors,D-STRESS-v1,D-STRESS-v1/grounding_on_errors/dataset-metric-conditions-v1,applicable,binary_stress__grounding_on_errors,released_stress_labels,2,stress=1,Grounding passes among exact-label errors / resolved exact-label errors. Exposes plausible but incorrect explanations.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,grounding_on_errors,G-EMOTION28-v1,G-EMOTION28-v1/grounding_on_errors/dataset-metric-conditions-v1,applicable,multilabel_emotion__grounding_on_errors,released_emotion_label_sets,28,,Grounding passes among exact-label errors / resolved exact-label errors. Exposes plausible but incorrect explanations.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,grounding_on_errors,C-CODING-v1,C-CODING-v1/grounding_on_errors/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,grounding_on_errors,P-CODING-v1,P-CODING-v1/grounding_on_errors/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,human_grounding,D-STRESS-v1,D-STRESS-v1/human_grounding/dataset-metric-conditions-v1,conditional,binary_stress__human_grounding,released_stress_labels,2,stress=1,Adjudicated passes / reviewed outputs using the same v2 rubric; show exact audited N and never extrapolate as full-panel score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Two independent human reviews plus adjudication,specified_not_yet_validated_for_server
goemotions,human_grounding,G-EMOTION28-v1,G-EMOTION28-v1/human_grounding/dataset-metric-conditions-v1,conditional,multilabel_emotion__human_grounding,released_emotion_label_sets,28,,Adjudicated passes / reviewed outputs using the same v2 rubric; show exact audited N and never extrapolate as full-panel score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Two independent human reviews plus adjudication,specified_not_yet_validated_for_server
cache,human_grounding,C-CODING-v1,C-CODING-v1/human_grounding/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__human_grounding,none,,,Adjudicated passes / reviewed outputs using the same v2 rubric; show exact audited N and never extrapolate as full-panel score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Two independent human reviews plus adjudication,specified_not_yet_validated_for_server
parlamint_gb,human_grounding,P-CODING-v1,P-CODING-v1/human_grounding/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__human_grounding,none,,,Adjudicated passes / reviewed outputs using the same v2 rubric; show exact audited N and never extrapolate as full-panel score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Two independent human reviews plus adjudication,specified_not_yet_validated_for_server
dreaddit,human_agreement,D-STRESS-v1,D-STRESS-v1/human_agreement/dataset-metric-conditions-v1,conditional,binary_stress__human_agreement,released_stress_labels,2,stress=1,Pass/fail agreement and Cohen kappa before adjudication; dimension ordinal agreement separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Independent reviewer labels,specified_not_yet_validated_for_server
goemotions,human_agreement,G-EMOTION28-v1,G-EMOTION28-v1/human_agreement/dataset-metric-conditions-v1,conditional,multilabel_emotion__human_agreement,released_emotion_label_sets,28,,Pass/fail agreement and Cohen kappa before adjudication; dimension ordinal agreement separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Independent reviewer labels,specified_not_yet_validated_for_server
cache,human_agreement,C-CODING-v1,C-CODING-v1/human_agreement/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__human_agreement,none,,,Pass/fail agreement and Cohen kappa before adjudication; dimension ordinal agreement separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Independent reviewer labels,specified_not_yet_validated_for_server
parlamint_gb,human_agreement,P-CODING-v1,P-CODING-v1/human_agreement/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__human_agreement,none,,,Pass/fail agreement and Cohen kappa before adjudication; dimension ordinal agreement separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Independent reviewer labels,specified_not_yet_validated_for_server
dreaddit,judge_agreement,D-STRESS-v1,D-STRESS-v1/judge_agreement/dataset-metric-conditions-v1,conditional,binary_stress__judge_agreement,released_stress_labels,2,stress=1,Compare judge with adjudicated human grounding; treat human grounding failures as positive for failure-detection sensitivity. Show confusion matrix.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Judge and human labels; both human outcome classes for sensitivity/specificity,specified_not_yet_validated_for_server
goemotions,judge_agreement,G-EMOTION28-v1,G-EMOTION28-v1/judge_agreement/dataset-metric-conditions-v1,conditional,multilabel_emotion__judge_agreement,released_emotion_label_sets,28,,Compare judge with adjudicated human grounding; treat human grounding failures as positive for failure-detection sensitivity. Show confusion matrix.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Judge and human labels; both human outcome classes for sensitivity/specificity,specified_not_yet_validated_for_server
cache,judge_agreement,C-CODING-v1,C-CODING-v1/judge_agreement/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__judge_agreement,none,,,Compare judge with adjudicated human grounding; treat human grounding failures as positive for failure-detection sensitivity. Show confusion matrix.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Judge and human labels; both human outcome classes for sensitivity/specificity,specified_not_yet_validated_for_server
parlamint_gb,judge_agreement,P-CODING-v1,P-CODING-v1/judge_agreement/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__judge_agreement,none,,,Compare judge with adjudicated human grounding; treat human grounding failures as positive for failure-detection sensitivity. Show confusion matrix.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Judge and human labels; both human outcome classes for sensitivity/specificity,specified_not_yet_validated_for_server
dreaddit,second_judge_agreement,D-STRESS-v1,D-STRESS-v1/second_judge_agreement/dataset-metric-conditions-v1,conditional,binary_stress__second_judge_agreement,released_stress_labels,2,stress=1,"Raw agreement and kappa, same answer/source and frozen rubric; agreement is not proof of truth.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Separately frozen secondary judge; not automatically scheduled,specified_not_yet_validated_for_server
goemotions,second_judge_agreement,G-EMOTION28-v1,G-EMOTION28-v1/second_judge_agreement/dataset-metric-conditions-v1,conditional,multilabel_emotion__second_judge_agreement,released_emotion_label_sets,28,,"Raw agreement and kappa, same answer/source and frozen rubric; agreement is not proof of truth.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Separately frozen secondary judge; not automatically scheduled,specified_not_yet_validated_for_server
cache,second_judge_agreement,C-CODING-v1,C-CODING-v1/second_judge_agreement/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__second_judge_agreement,none,,,"Raw agreement and kappa, same answer/source and frozen rubric; agreement is not proof of truth.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Separately frozen secondary judge; not automatically scheduled,specified_not_yet_validated_for_server
parlamint_gb,second_judge_agreement,P-CODING-v1,P-CODING-v1/second_judge_agreement/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__second_judge_agreement,none,,,"Raw agreement and kappa, same answer/source and frozen rubric; agreement is not proof of truth.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Separately frozen secondary judge; not automatically scheduled,specified_not_yet_validated_for_server
dreaddit,prediction_coverage,D-STRESS-v1,D-STRESS-v1/prediction_coverage/dataset-metric-conditions-v1,applicable,binary_stress__prediction_coverage,released_stress_labels,2,stress=1,Valid committed predictions / 100 planned inputs.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,prediction_coverage,G-EMOTION28-v1,G-EMOTION28-v1/prediction_coverage/dataset-metric-conditions-v1,applicable,multilabel_emotion__prediction_coverage,released_emotion_label_sets,28,,Valid committed predictions / 100 planned inputs.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,prediction_coverage,C-CODING-v1,C-CODING-v1/prediction_coverage/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__prediction_coverage,none,,,Valid committed predictions / 100 planned inputs.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,prediction_coverage,P-CODING-v1,P-CODING-v1/prediction_coverage/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__prediction_coverage,none,,,Valid committed predictions / 100 planned inputs.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,schema_validity,D-STRESS-v1,D-STRESS-v1/schema_validity/dataset-metric-conditions-v1,applicable,binary_stress__schema_validity,released_stress_labels,2,stress=1,Report first-attempt validity and eventual validity separately over attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,schema_validity,G-EMOTION28-v1,G-EMOTION28-v1/schema_validity/dataset-metric-conditions-v1,applicable,multilabel_emotion__schema_validity,released_emotion_label_sets,28,,Report first-attempt validity and eventual validity separately over attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,schema_validity,C-CODING-v1,C-CODING-v1/schema_validity/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__schema_validity,none,,,Report first-attempt validity and eventual validity separately over attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,schema_validity,P-CODING-v1,P-CODING-v1/schema_validity/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__schema_validity,none,,,Report first-attempt validity and eventual validity separately over attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,invalid_label_rate,D-STRESS-v1,D-STRESS-v1/invalid_label_rate/dataset-metric-conditions-v1,applicable,binary_stress__invalid_label_rate,released_stress_labels,2,stress=1,"Items with out-of-codebook, duplicate or forbidden label combinations / attempted items.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,invalid_label_rate,G-EMOTION28-v1,G-EMOTION28-v1/invalid_label_rate/dataset-metric-conditions-v1,applicable,multilabel_emotion__invalid_label_rate,released_emotion_label_sets,28,,"Items with out-of-codebook, duplicate or forbidden label combinations / attempted items.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,invalid_label_rate,C-CODING-v1,C-CODING-v1/invalid_label_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__invalid_label_rate,none,,,"Items with out-of-codebook, duplicate or forbidden label combinations / attempted items.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,invalid_label_rate,P-CODING-v1,P-CODING-v1/invalid_label_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__invalid_label_rate,none,,,"Items with out-of-codebook, duplicate or forbidden label combinations / attempted items.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,abstention_rate,D-STRESS-v1,D-STRESS-v1/abstention_rate/dataset-metric-conditions-v1,applicable,binary_stress__abstention_rate,released_stress_labels,2,stress=1,Separate explicit uncertainty abstentions and refusals / attempted items; preserve task failures.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,abstention_rate,G-EMOTION28-v1,G-EMOTION28-v1/abstention_rate/dataset-metric-conditions-v1,applicable,multilabel_emotion__abstention_rate,released_emotion_label_sets,28,,Separate explicit uncertainty abstentions and refusals / attempted items; preserve task failures.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,abstention_rate,C-CODING-v1,C-CODING-v1/abstention_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__abstention_rate,none,,,Separate explicit uncertainty abstentions and refusals / attempted items; preserve task failures.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,abstention_rate,P-CODING-v1,P-CODING-v1/abstention_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__abstention_rate,none,,,Separate explicit uncertainty abstentions and refusals / attempted items; preserve task failures.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,unresolved_judge_rate,D-STRESS-v1,D-STRESS-v1/unresolved_judge_rate/dataset-metric-conditions-v1,applicable,binary_stress__unresolved_judge_rate,released_stress_labels,2,stress=1,Unresolved or unattempted planned primary judgments / 100; split error and not-yet-run counts.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,unresolved_judge_rate,G-EMOTION28-v1,G-EMOTION28-v1/unresolved_judge_rate/dataset-metric-conditions-v1,applicable,multilabel_emotion__unresolved_judge_rate,released_emotion_label_sets,28,,Unresolved or unattempted planned primary judgments / 100; split error and not-yet-run counts.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,unresolved_judge_rate,C-CODING-v1,C-CODING-v1/unresolved_judge_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__unresolved_judge_rate,none,,,Unresolved or unattempted planned primary judgments / 100; split error and not-yet-run counts.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,unresolved_judge_rate,P-CODING-v1,P-CODING-v1/unresolved_judge_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__unresolved_judge_rate,none,,,Unresolved or unattempted planned primary judgments / 100; split error and not-yet-run counts.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,truncation_rate,D-STRESS-v1,D-STRESS-v1/truncation_rate/dataset-metric-conditions-v1,applicable,binary_stress__truncation_rate,released_stress_labels,2,stress=1,Length-terminated model calls / all completed calls; also items affected / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,truncation_rate,G-EMOTION28-v1,G-EMOTION28-v1/truncation_rate/dataset-metric-conditions-v1,applicable,multilabel_emotion__truncation_rate,released_emotion_label_sets,28,,Length-terminated model calls / all completed calls; also items affected / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,truncation_rate,C-CODING-v1,C-CODING-v1/truncation_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__truncation_rate,none,,,Length-terminated model calls / all completed calls; also items affected / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,truncation_rate,P-CODING-v1,P-CODING-v1/truncation_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__truncation_rate,none,,,Length-terminated model calls / all completed calls; also items affected / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,retry_rate,D-STRESS-v1,D-STRESS-v1/retry_rate/dataset-metric-conditions-v1,applicable,binary_stress__retry_rate,released_stress_labels,2,stress=1,Items needing one or more retries / attempted items; report extra-call count separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,retry_rate,G-EMOTION28-v1,G-EMOTION28-v1/retry_rate/dataset-metric-conditions-v1,applicable,multilabel_emotion__retry_rate,released_emotion_label_sets,28,,Items needing one or more retries / attempted items; report extra-call count separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,retry_rate,C-CODING-v1,C-CODING-v1/retry_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__retry_rate,none,,,Items needing one or more retries / attempted items; report extra-call count separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,retry_rate,P-CODING-v1,P-CODING-v1/retry_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__retry_rate,none,,,Items needing one or more retries / attempted items; report extra-call count separately.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,format_failure_rate,D-STRESS-v1,D-STRESS-v1/format_failure_rate/dataset-metric-conditions-v1,applicable,binary_stress__format_failure_rate,released_stress_labels,2,stress=1,Items still unparsable after the fixed retry policy / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,format_failure_rate,G-EMOTION28-v1,G-EMOTION28-v1/format_failure_rate/dataset-metric-conditions-v1,applicable,multilabel_emotion__format_failure_rate,released_emotion_label_sets,28,,Items still unparsable after the fixed retry policy / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,format_failure_rate,C-CODING-v1,C-CODING-v1/format_failure_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__format_failure_rate,none,,,Items still unparsable after the fixed retry policy / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,format_failure_rate,P-CODING-v1,P-CODING-v1/format_failure_rate/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__format_failure_rate,none,,,Items still unparsable after the fixed retry policy / attempted items.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,active_time,D-STRESS-v1,D-STRESS-v1/active_time/dataset-metric-conditions-v1,applicable,binary_stress__active_time,released_stress_labels,2,stress=1,"Wall time spent on preparation, adaptation/search, prediction, judging and retries; sum nonoverlapping phase intervals. Separate cold-start setup.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
